17.41,18.0924,13.7872,
17.9735,18.4052,13.6331,
18.5893,18.7245,13.4747,
19.2751,19.0481,13.3225,
20.057,19.3771,13.1768,
20.9831,19.7098,13.0326,
22.0694,20.0458,12.8886,
23.3033,20.3915,12.7404,
24.6253,20.7449,12.5944,
25.9592,21.0946,12.4532,
27.2606,21.4492,12.3128,
28.4423,21.8059,12.173,
29.3812,22.1658,12.033,
30.134,22.5216,11.8994,
30.7271,22.8809,11.767,
31.1937,23.23,11.6391,
31.5638,23.5811,11.5119,
31.869,23.923,11.388,
32.1407,24.2612,11.2703,
32.4222,24.6025,11.149,
32.7451,24.9243,11.0351,
33.13,25.2408,10.9274,
33.5934,25.5583,10.8175,
34.1579,25.86,10.714,
34.8422,26.1505,10.6151,
35.6387,26.4329,10.5181,
36.4988,26.7107,10.4235,
37.3557,26.9968,10.3319,
38.1502,27.2912,10.2417,
38.8652,27.5737,10.153,
39.5299,27.8357,10.07,
40.223,28.0842,9.98768,
41.066,28.3218,9.90922,
42.2056,28.5429,9.83324,
43.7399,28.7575,9.75807,
45.6937,28.9594,9.68638,
47.9388,29.1501,9.6152,
50.2495,29.3345,9.54759,
52.3794,29.5086,9.47915,
54.1745,29.6682,9.41631,
55.5668,29.829,9.35163,
56.6086,29.9799,9.29022,
57.4958,30.1243,9.2297,
58.3686,30.2633,9.16944,
59.2741,30.3956,9.11146,
60.1784,30.5191,9.0565,
61.0206,30.641,9.00003,
61.7518,30.7595,8.94493,
62.3465,30.8705,8.89243,
62.8219,30.9759,8.84149,
63.1897,31.0826,8.78827,
