8.09938,1.80125,0.099376,0.099376,0.900624,
7.29035,2.42939,0.280261,0.190203,0.809797,
6.56083,2.91644,0.522728,0.270889,0.72911,
5.90488,3.28047,0.814647,0.343906,0.656094,
5.31477,3.54231,1.14291,0.409615,0.590385,
4.78345,3.71937,1.49718,0.468662,0.531338,
4.30458,3.82579,1.86963,0.521776,0.478224,
3.87485,3.87371,2.25143,0.569587,0.430413,
3.4841,3.87769,2.63821,0.612231,0.387769,
3.13772,3.83532,3.02695,0.651334,0.348666,
2.82278,3.76845,3.40876,0.685962,0.314038,
2.5405,3.673,3.78649,0.717461,0.282539,
2.28723,3.55804,4.15473,0.745854,0.254146,
2.0583,3.43203,4.50967,0.771198,0.228802,
1.85326,3.29436,4.85238,0.794103,0.205897,
1.66912,3.14951,5.18136,0.815363,0.185408,
1.50011,3.00113,5.49877,0.833271,0.166729,
1.35082,2.85221,5.79697,0.844683,0.149198,
1.21549,2.70019,6.08432,0.864931,0.13501,
1.0958,2.55203,6.35218,0.887191,0.1227,
0.985397,2.40697,6.60764,0.890839,0.109407,
0.885815,2.26538,6.8488,0.890324,0.0973498,
0.7971,2.12695,7.07595,0.911381,0.088623,
0.718944,1.99334,7.28772,0.933671,0.0807965,
0.645109,1.86664,7.48825,0.927534,0.0717939,
0.581389,1.74503,7.67358,0.921415,0.0637371,
0.524125,1.62603,7.84985,0.942985,0.0580724,
0.470024,1.51945,8.01052,0.962943,0.0531676,
0.424358,1.41258,8.16306,0.950739,0.0470861,
0.381337,1.31501,8.30365,0.943232,0.041801,
0.344133,1.22068,8.43519,0.964206,0.0381463,
0.309581,1.13302,8.5574,0.980089,0.0348531,
0.278925,1.05065,8.67042,0.967312,0.0309254,
0.25037,0.974078,8.77555,0.958417,0.0274229,
0.225406,0.90145,8.87314,0.978425,0.0250403,
0.203529,0.834774,8.9617,0.989091,0.0228997,
0.182391,0.770457,9.04715,0.97157,0.0201511,
0.163673,0.711786,9.12454,0.971651,0.0179881,
0.148035,0.656327,9.19564,0.988447,0.0164082,
0.132565,0.606267,9.26117,0.993839,0.0150032,
0.119526,0.557715,9.32276,0.988745,0.0134073,
0.107533,0.515653,9.37681,0.977828,0.0118242,
0.0966,0.47383,9.42957,0.993157,0.0107689,
0.087189,0.436709,9.4761,0.99633,0.00984181,
0.078465,0.401029,9.52051,0.981029,0.00861666,
0.070672,0.369336,9.55999,0.98783,0.00775215,
0.063799,0.338552,9.59765,0.996599,0.00705317,
0.057208,0.311352,9.63144,0.997827,0.00644056,
0.051881,0.28497,9.66315,0.996042,0.00577538,
0.046773,0.262853,9.69037,0.989391,0.00508705,
0.042027,0.240666,9.71731,0.997904,0.00462819,
0.037564,0.221004,9.74143,0.998677,0.00422436,
0.034174,0.203288,9.76254,0.988635,0.00371253,
