8.75069,9.29243,6.81855,
9.37653,9.64675,6.67788,
10.1407,9.99738,6.54801,
11.0904,10.3429,6.4176,
12.1886,10.6849,6.28867,
13.3216,11.0172,6.16337,
14.396,11.3429,6.03953,
15.1573,11.6565,5.9204,
15.6765,11.9613,5.80549,
16.0573,12.2533,5.69512,
16.433,12.5342,5.58783,
16.9045,12.8035,5.48444,
17.5142,13.0568,5.38777,
18.2357,13.2985,5.29438,
19.0066,13.5466,5.20355,
19.8362,13.7932,5.11723,
20.8604,14.021,5.03413,
22.2215,14.233,4.95492,
23.919,14.4337,4.87761,
25.7236,14.6179,4.80435,
27.378,14.789,4.7344,
28.656,14.9546,4.66551,
29.622,15.1041,4.59947,
30.4038,15.2496,4.53529,
31.0287,15.3844,4.47337,
31.4866,15.5126,4.41422,
